,AGE,SEX,FTPT,GOVTOF2,SC20MMJ,TTUSHR,GRSSWK,DISEA,ETHUKEUL,HIQUL22D
3799,29,2,1,9,9,35,346,2,1,4
3824,60,2,2,9,4,30,317,2,1,4
3825,60,1,1,9,8,40,673,1,1,6
3845,41,1,1,9,6,42,577,2,3,5
3846,33,2,1,9,6,36,442,2,3,1
3849,46,2,1,9,4,37,500,1,1,3
3850,62,1,2,9,9,38,280,2,1,2
3851,56,2,1,9,7,27,300,1,1,5
3900,54,2,2,9,2,25,323,2,1,1
3913,65,1,1,9,2,44,1615,2,1,2
3921,58,2,2,9,7,15,174,2,1,2
3933,51,1,1,9,1,42,2492,2,1,3
3950,45,1,2,9,4,30,362,1,1,4
3961,30,1,1,9,5,38,413,2,1,1
3999,43,2,1,9,1,45,865,2,1,3
4030,24,2,1,9,3,40,481,1,1,1
4079,44,2,1,9,6,32,323,2,1,1
4084,38,1,1,9,1,40,615,2,3,2
4110,59,2,1,9,3,35,567,1,1,1
4112,41,2,2,9,7,17,52,2,1,3
4140,35,2,2,9,7,15,277,2,5,3
4143,54,2,2,9,2,15,323,1,1,2
4144,55,1,1,9,2,42,1923,2,1,1
4155,38,2,1,9,1,37,981,1,1,1
4167,53,1,1,9,5,41,692,2,1,1
4170,62,2,1,9,3,45,490,2,1,4
4171,54,2,1,9,1,44,702,1,1,2
4173,34,1,1,9,5,42,915,2,1,3
4174,59,2,1,9,4,37,471,2,1,3
4194,57,2,1,9,2,37,1192,2,1,2
4195,30,2,2,10,9,7,75,1,1,2
4209,32,2,1,9,2,40,885,2,1,1
4212,43,1,1,9,2,37,923,2,1,1
4213,43,2,1,9,2,32,1231,2,1,1
4231,58,2,1,10,4,37,579,2,1,3
4232,61,1,1,10,1,68,462,1,1,3
4233,22,1,2,10,6,6,90,2,1,1
4234,49,2,1,10,6,34,346,2,1,3
4235,53,1,1,10,9,60,481,2,1,3
4238,58,2,1,10,1,38,667,2,1,3
4239,31,1,2,10,9,25,263,1,1,5
4240,28,1,1,10,3,48,596,2,8,4
4247,45,1,1,10,5,51,865,2,1,3
4248,44,2,1,10,2,60,1346,2,1,1
4259,54,2,1,10,2,32,769,1,1,1
4260,53,1,1,10,2,42,769,1,1,1
4261,19,1,1,10,5,40,423,2,1,3
4285,58,2,1,9,3,45,702,1,1,1
4293,41,2,1,9,3,42,644,2,1,4
4294,36,2,1,9,1,38,587,1,1,4
4310,28,1,1,9,6,40,311,1,1,5
4314,63,1,1,9,9,38,481,1,1,3
4315,22,1,1,9,3,40,519,2,1,3
4319,63,2,2,9,7,17,258,2,1,4
4327,59,2,2,9,3,32,485,2,1,3
4328,59,2,1,9,1,37,923,1,1,1
4336,38,2,1,9,2,45,529,2,1,1
4337,37,1,1,9,5,40,644,2,1,3
4341,57,2,2,9,7,24,240,2,1,2
4342,35,1,1,9,5,38,471,2,1,3
4343,35,2,1,9,4,38,529,1,2,3
4353,44,2,1,9,3,63,1154,1,6,1
4374,44,1,1,9,3,37,742,2,1,4
4375,42,2,1,9,7,40,681,2,1,7
4383,42,2,1,9,1,55,1923,2,1,2
4395,34,2,1,10,1,60,769,2,1,1
4399,55,2,1,10,1,38,1058,2,1,4
4400,24,2,1,10,2,39,808,2,1,1
4401,21,2,2,10,7,29,302,2,1,4
4402,54,1,1,9,1,55,5000,2,1,1
4406,57,1,1,9,3,38,865,2,1,4
4407,55,2,1,9,4,38,538,2,1,4
4415,53,1,1,10,1,54,981,2,1,3
4432,61,2,1,9,6,35,392,2,1,6
4433,36,2,2,9,9,10,300,2,1,6
4434,30,1,2,9,7,22,254,2,1,3
4441,55,1,1,10,4,37,1154,2,1,1
4458,42,1,1,9,1,35,865,2,1,1
4459,40,2,1,9,2,50,587,2,1,1
4467,42,2,1,10,2,42,692,1,1,1
4468,41,1,1,10,3,40,531,2,1,1
4486,31,1,2,9,8,21,303,1,1,3
4487,60,2,2,9,3,31,671,1,1,3
4488,46,1,1,9,2,57,1062,2,1,1
4512,35,2,1,9,2,45,678,1,1,3
4513,36,1,1,9,5,70,1154,2,1,3
4517,46,1,2,9,2,34,1846,2,1,1
4518,47,2,1,9,2,40,1538,2,1,1
4519,16,2,2,9,7,3,18,2,1,4
4524,62,1,2,9,2,33,1443,1,1,1
4525,52,2,1,9,4,40,1500,2,1,3
4530,27,1,1,9,7,32,219,1,7,3
4541,65,1,2,9,3,23,542,2,1,2
4542,59,2,2,9,3,34,358,2,1,2
4562,56,1,1,9,1,60,2211,2,1,2
4564,60,2,1,9,2,45,981,2,1,2
4572,51,2,1,10,2,32,577,2,1,1
4575,56,2,1,9,4,33,577,2,1,2
4576,60,1,1,9,3,37,981,2,1,1
4598,55,1,1,9,3,38,615,2,1,4
4599,59,2,2,9,2,21,1000,2,1,1
4605,28,2,1,9,2,55,577,2,7,1
4615,30,2,2,9,3,15,185,1,1,6
4616,28,1,1,9,9,40,508,2,1,7
4632,37,2,1,9,2,36,1346,2,1,1
4633,40,1,1,9,5,53,769,2,1,3
4658,33,2,1,9,2,37,1808,2,3,1
4664,33,2,1,9,4,36,1000,2,1,1
4665,35,1,1,9,3,38,1404,2,1,1
4668,54,2,2,9,7,16,162,2,1,2
4700,39,1,1,9,5,38,856,1,1,2
4701,39,2,1,9,2,38,846,2,1,2
4716,75,1,1,9,8,40,673,2,1,4
4719,45,1,1,9,8,43,923,2,1,3
4720,41,2,1,9,2,45,558,2,1,2
4723,46,1,1,9,1,38,1044,2,1,3
4739,48,1,1,9,1,40,1200,2,1,4
4755,32,1,1,9,1,38,1038,2,1,1
4756,32,2,2,9,6,20,208,1,7,1
